,User ID,Perfume Name,Sentiment
0,93040.0,Dior Homme Intense,-1.0
1,83823.0,Dior Homme Intense,-1.0
2,67578.0,Dior Homme Intense,-1.0
3,37761.0,Dior Homme Intense,1.0
4,78034.0,Dior Homme Intense,1.0
5,2602.0,Dior Homme Intense,1.0
6,89931.0,Dior Homme Intense,1.0
7,90971.0,Dior Homme Intense,-1.0
8,92565.0,Dior Homme Intense,-1.0
9,90328.0,Dior Homme Intense,1.0
10,22263.0,Dior Homme Intense,-1.0
13,63890.0,Dior Homme Intense,1.0
14,74234.0,Dior Homme Intense,1.0
15,65714.0,Dior Homme Intense,-1.0
16,70512.0,Dior Homme Intense,-1.0
17,83345.0,Dior Homme Intense,1.0
18,1195.0,Dior Homme Intense,1.0
19,85608.0,Dior Homme Intense,-1.0
20,78363.0,Dior Homme Intense,1.0
22,67781.0,Dior Homme Intense,-1.0
23,60292.0,Dior Homme Intense,-1.0
24,60259.0,Dior Homme Intense,-1.0
25,65872.0,Dior Homme Intense,1.0
26,64893.0,Dior Homme Intense,-1.0
27,61304.0,Dior Homme Intense,1.0
28,48919.0,Dior Homme Intense,-1.0
29,66704.0,Dior Homme Intense,-1.0
30,23896.0,Dior Homme Intense,-1.0
31,77971.0,Dior Homme Intense,-1.0
32,62518.0,Dior Homme Intense,1.0
33,85374.0,Dior Homme Intense,1.0
34,44620.0,Dior Homme Intense,1.0
35,14501.0,Dior Homme Intense,1.0
37,83877.0,Dior Homme Intense,1.0
38,84089.0,Dior Homme Intense,-1.0
40,82696.0,Dior Homme Intense,1.0
41,27453.0,Dior Homme Intense,-1.0
42,42800.0,Dior Homme Intense,1.0
43,73537.0,Dior Homme Intense,1.0
44,76193.0,Dior Homme Intense,-1.0
45,40385.0,Dior Homme Intense,1.0
46,79466.0,Dior Homme Intense,-1.0
47,30333.0,Dior Homme Intense,-1.0
48,26585.0,Dior Homme Intense,-1.0
49,48795.0,Dior Homme Intense,1.0
51,73302.0,Dior Homme Intense,1.0
52,77617.0,Dior Homme Intense,1.0
54,66571.0,Dior Homme Intense,-1.0
55,48163.0,Dior Homme Intense,1.0
56,78370.0,Dior Homme Intense,1.0
57,23548.0,Dior Homme Intense,1.0
58,78160.0,Dior Homme Intense,-1.0
59,77802.0,Dior Homme Intense,1.0
60,69388.0,Dior Homme Intense,-1.0
61,60411.0,Dior Homme Intense,-1.0
62,69884.0,Dior Homme Intense,-1.0
63,68781.0,Dior Homme Intense,1.0
65,44010.0,Dior Homme Intense,1.0
66,38839.0,Dior Homme Intense,1.0
67,62255.0,Dior Homme Intense,1.0
68,39627.0,Dior Homme Intense,1.0
69,47984.0,Dior Homme Intense,-1.0
70,11198.0,Dior Homme Intense,1.0
71,57081.0,Dior Homme Intense,1.0
72,48692.0,Dior Homme Intense,-1.0
73,53524.0,Dior Homme Intense,1.0
77,72935.0,Dior Homme Intense,1.0
78,57987.0,Dior Homme Intense,1.0
79,35290.0,Dior Homme Intense,1.0
81,93032.0,Dior Homme Intense,1.0
82,73712.0,Dior Homme Intense,-1.0
83,69888.0,Dior Homme Intense,-1.0
84,75701.0,Dior Homme Intense,1.0
85,57197.0,Dior Homme Intense,-1.0
86,68001.0,Dior Homme Intense,-1.0
88,40610.0,Dior Homme Intense,1.0
91,20181.0,Dior Homme Intense,-1.0
92,65610.0,Dior Homme Intense,1.0
93,63550.0,Dior Homme Intense,-1.0
94,59870.0,Dior Homme Intense,1.0
95,10611.0,Dior Homme Intense,1.0
97,55723.0,Dior Homme Intense,1.0
99,67062.0,Dior Homme Intense,1.0
100,62929.0,Dior Homme Intense,1.0
102,64715.0,Dior Homme Intense,-1.0
103,53339.0,Dior Homme Intense,1.0
