url,accords,top_notes,mid_notes,bot_notes,uncateg_notes,description,rating,longevity,sillage,fem_masc,price,environment,reviews
https://www.fragrantica.com/perfume/Serge-Lutens/Chergui-2762.html,"[('amber', 100.0), ('sweet', 89.73), ('tobacco', 85.8292), ('honey', 84.0247), ('powdery', 71.4447), ('woody', 63.6374), ('green', 60.9553), ('smoky', 55.8466), ('warm spicy', 53.3923), ('floral', 51.5912)]",[],[],[],"['Tobacco Leaf', 'Honey', 'Amber', 'Hay', 'Incense', 'Sandalwood', 'Iris', 'Musk', 'Rose']",Chergui by Serge Lutens is a Oriental Spicy fragrance for women and men. Chergui was launched in 2001. The nose behind this fragrance is Christopher Sheldrake. ,,[ 4.13  5.77 31.66 46.2  12.24],[12.03 50.91 25.99 11.07],[ 5.5   9.52 60.73 17.94  6.31],[ 5.33 19.83 57.48 13.46  3.88],[ 94.9524  24.6201  17.0744 100.      65.3876  81.7924],[]
https://www.fragrantica.com/perfume/Serge-Lutens/Datura-Noir-1269.html,"[('vanilla', 100.0), ('almond', 90.0471), ('tuberose', 85.2951), ('white floral', 82.9504), ('sweet', 81.8565), ('fruity', 77.9122), ('coconut', 70.4572), ('powdery', 68.6816), ('floral', 67.4232), ('nutty', 65.7837)]",[],[],[],"['Tuberose', 'Almond', 'Coconut', 'Heliotrope', 'Vanilla', 'Chinese Osmanthus', 'Tonka Bean', 'Lemon Blossom', 'Musk', 'Apricot', 'Myrrh', 'Mandarin Orange']",Datura Noir by Serge Lutens is a Oriental Vanilla fragrance for women and men. Datura Noir was launched in 2001. The nose behind this fragrance is Christopher Sheldrake. ,,[ 5.55 12.58 43.21 30.64  8.03],[16.31 48.25 21.61 13.82],[57.99 24.66 15.84  0.55  0.96],[ 7.37 24.79 55.11 10.39  2.35],[ 74.3745  76.0138  76.8766  93.0975 100.      86.6264],[]
https://www.fragrantica.com/perfume/Histoires-de-Parfums/Ambre-114-4493.html,"[('amber', 100.0), ('vanilla', 78.5089), ('woody', 65.7066), ('warm spicy', 60.921), ('fresh spicy', 59.0903), ('powdery', 57.5168), ('aromatic', 54.5019), ('balsamic', 47.8934), ('patchouli', 44.4951)]","['Nutmeg', 'Thyme']","['Patchouli', 'Sandalwood', 'Rose', 'Geranium', 'Cedar', 'Vetiver']","['Amber', 'Vanilla', 'Benzoin', 'Tonka Bean', 'Musk']",[],"Ambre 114 by Histoires de Parfums is a Oriental Spicy fragrance for women and men. Ambre 114 was launched in 2001. Ambre 114 was created by Gerald Ghislain, Magali Senequier and Sylvie Jourdet. Top notes are Nutmeg and Thyme; middle notes are Patchouli, Sandalwood, Rose, Geranium, Cedar and Vetiver; base notes are Amber, Vanilla, Benzoin, Tonka Bean and Musk. ",,[ 3.57  4.84 27.53 44.12 19.93],[11.78 44.61 30.14 13.47],[ 4.74  8.46 66.84 14.21  5.75],[ 3.56 13.39 58.58 18.2   6.28],[ 97.1503  36.1399  15.8031 100.      76.4249  81.3472],[]
https://www.fragrantica.com/perfume/Profumum-Roma/Ichnusa-3891.html,"[('green', 100.0), ('fresh', 68.1093), ('woody', 58.573), ('herbal', 51.193), ('fresh spicy', 48.7627), ('aromatic', 46.6184)]",[],[],[],"['Fig Leaf', 'Fig Tree', 'Grass', 'Myrtle', 'Hay']",Ichnusa by Profumum Roma is a fragrance for women and men. Ichnusa was launched in 2001. ,4.30,[ 6.75 11.04 40.18 33.13  8.9 ],[15.8  47.68 22.34 14.17],[ 3.89  5.45 72.76 16.34  1.56],[14.01 44.44 36.23  4.35  0.97],[ 10.9589  92.4658 100.      34.9315  94.5205  19.5205],[]
https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,"[('citrus', 100.0), ('white floral', 73.1598), ('fresh spicy', 56.7952), ('aromatic', 54.5771), ('musky', 53.9972), ('green', 50.4732), ('powdery', 44.9124)]","['Neroli', 'Bergamot', 'Petitgrain']",['African Orange Flower'],['Musk'],[],"Mugler Cologne by Mugler is a Citrus Aromatic fragrance for women and men. Mugler Cologne was launched in 2001. The nose behind this fragrance is Alberto Morillas. Top notes are Neroli, Bergamot and Petitgrain; middle note is African Orange Flower; base note is Musk. ",,[ 9.72 18.52 49.92 16.95  4.89],[28.39 50.25 12.25  9.11],[ 3.04  4.38 67.45 19.22  5.9 ],[ 4.34 12.4  40.29 31.82 11.16],[  8.93358  76.333   100.       18.101    97.2872   12.2077 ],[]
https://www.fragrantica.com/perfume/Lorenzo-Villoresi/Yerbamate-5081.html,"[('green', 100.0), ('aromatic', 68.4267), ('woody', 54.3204), ('fresh spicy', 53.4554), ('fresh', 48.6578), ('powdery', 46.5019)]","['Mate', 'Green Notes', 'Tea', 'Grass', 'Tarragon', 'Mint', 'Ylang-Ylang', 'Brazilian Rosewood', 'Citruses']","['Mate', 'Green Notes', 'Tea', 'Hay', 'Grass', 'Lavender']","['Powdery Notes', 'Green Notes', 'Tea', 'Galbanum', 'Vetiver', 'Oakmoss', 'Spices', 'Woody Notes', 'French labdanum', 'Patchouli']",[],"Yerbamate by Lorenzo Villoresi is a Aromatic Green fragrance for women and men. Yerbamate was launched in 2001. The nose behind this fragrance is Lorenzo Villoresi. Top notes are Mate, Green Notes, Tea, Grass, Tarragon, Mint, Ylang-Ylang, Brazilian Rosewood and Citruses; middle notes are Mate, Green Notes, Tea, Hay, Grass and Lavender; base notes are Powdery Notes, Green Notes, Tea, Galbanum, Vetiver, Oakmoss, Spices, Woody Notes, French labdanum and Patchouli. ",3.97,[ 5.48 12.33 45.21 31.51  5.48],[14.93 50.75 22.76 11.57],[ 3.88 11.63 58.91 17.83  7.75],[ 9.09 15.91 51.14 17.05  6.82],[ 11.7371  96.2441  82.1596  45.5399 100.      18.7793],[]
https://www.fragrantica.com/perfume/Cartier/Eau-de-Cartier-309.html,"[('citrus', 100.0), ('powdery', 77.985), ('aromatic', 76.7401), ('woody', 76.7101), ('ozonic', 72.3699), ('violet', 67.2003), ('fresh spicy', 66.0502), ('green', 62.3503), ('aquatic', 61.2199), ('lavender', 60.1003)]","['Yuzu', 'Bergamot', 'Coriander']","['Violet Leaf', 'Violet', 'Lavender']","['Cedar', 'Musk', 'White Amber', 'Patchouli']",[],"Eau de Cartier by Cartier is a Citrus Aromatic fragrance for women and men. Eau de Cartier was launched in 2001. The nose behind this fragrance is Christine Nagel. Top notes are Yuzu, Bergamot and Coriander; middle notes are Violet Leaf, Violet and Lavender; base notes are Cedar, Musk, White Amber and Patchouli. ",,[13.23 25.26 46.47 10.53  4.51],[40.13 36.23 13.21 10.44],[ 8.59  9.2  65.03 11.66  5.52],[ 8.27 18.11 50.79 20.08  2.76],[ 17.3239  78.0282  87.0423  29.1549 100.      19.2958],[]
https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/L-Eau-D-Ambre-Extreme-3303.html,"[('amber', 100.0), ('vanilla', 71.9999), ('powdery', 53.4819)]",[],[],[],"['Amber', 'Vanilla', 'Cardamom', 'Cinnamon', 'Nutmeg', 'Mace', 'Floral Notes']",L'Eau D'Ambre Extrême by L'Artisan Parfumeur is a Oriental Spicy fragrance for women and men. L'Eau D'Ambre Extrême was launched in 2001. The nose behind this fragrance is Jean-Claude Ellena. ,,[ 6.93 10.4  35.47 35.2  12.  ],[14.72 44.59 26.19 14.5 ],[ 5.58 15.23 67.51  8.63  3.05],[ 2.61 18.95 57.52 16.99  3.92],[ 98.2857  24.      15.4286 100.      74.2857  83.4286],[]
https://www.fragrantica.com/perfume/Serge-Lutens/Santal-Blanc-703.html,"[('woody', 100.0), ('powdery', 98.449), ('warm spicy', 77.7483), ('musky', 75.5665), ('iris', 62.6377), ('cinnamon', 57.9496), ('soft spicy', 56.3805), ('violet', 46.3188)]",[],[],[],"['White Sandalwood', 'Pink Pepper', 'Musk', 'Iris', 'Cinnamon']",Santal Blanc by Serge Lutens is a Woody Chypre fragrance for women and men. Santal Blanc was launched in 2001. The nose behind this fragrance is Christopher Sheldrake. ,3.93,[14.41 17.12 38.29 24.32  5.86],[27.24 34.06 21.98 16.72],[18.55 13.71 60.48  4.03  3.23],[19.1  26.97 44.94  5.62  3.37],[ 72.093   56.2791  40.      91.6279 100.      45.1163],[]
https://www.fragrantica.com/perfume/Profumum-Roma/Antico-Caruso-3888.html,"[('citrus', 100.0), ('white floral', 87.5951), ('almond', 80.0631), ('woody', 65.8859), ('sweet', 64.8009), ('nutty', 60.0378), ('amber', 56.5821), ('fruity', 55.0316), ('powdery', 51.9306), ('animalic', 46.8354)]",[],[],[],"['Orange Blossom', 'Almond', 'Lemon', 'Sandalwood', 'Amber']",Antico Caruso by Profumum Roma is a fragrance for women and men. Antico Caruso was launched in 2001. ,4.05,[ 2.8   2.8  18.18 52.45 23.78],[10.99 41.88 30.89 16.23],[ 4.17  3.12 36.46 33.33 22.92],[18.42 35.53 34.21  9.21  2.63],[ 72.5275  96.7033  75.8242  93.4066 100.      59.3407],[]
